dataset_key	pattern_layer	category	extraction_pattern	registry_prefix	mapping_type	mapping_source	registry_status	registry_name	registry_pattern	registry_deprecated	current_uri	review_note
uberon	safe	Anatomy	\bUBERON[:_](?P<id>\d{7})\b	uberon	direct	registry_prefix_match	found	UBERON	^UBERON:\d+$	False	http://identifiers.org/uberon/	
uniparc	safe	Protein	\b(?P<id>UPI[A-F0-9]{10})\b	uniparc	direct	registry_prefix_match	found	UniParc	^UPI[A-F0-9]{10}$	False	http://identifiers.org/uniparc/	
uniprot_isoform	safe	Protein	\b(?:(?P<id1>[A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+))|(?P<id2>[OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)))\b	uniprot.isoform	direct	reviewed_override	found	UniProt Isoform	^([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])(\-\d+)$	False	http://identifiers.org/uniprot.isoform/	
vgnc	safe	Gene	\b(?:(?:VGNC|vgnc):)(?P<id>\d{1,9})\b	vgnc	direct	registry_prefix_match	found	VGNC	^((VGNC|vgnc):)?\d{1,9}$	False	http://identifiers.org/vgnc/	
wormbase_gene	safe	Gene	\b(?P<id>WBGene\d{8})\b	wb	direct	explicit_pattern_uri	found	WormBase	^WB[A-Z][a-z]+\d+$	False	http://identifiers.org/wb/	
xenbase_gene	safe	Gene	\b(?P<id>XB\-[A-Z]+\-\d+)\b	xenbase	direct	explicit_pattern_uri	found	Xenbase	^XB\-\w+\-\d+$	False	http://identifiers.org/xenbase/	
zfin_gene	safe	Gene	\b(?P<id>ZDB\-[A-Z]+\-\d{6}\-\d+)\b	zfin	direct	explicit_pattern_uri	found	ZFIN Bioentity	^ZDB\-\w+\-\d+\-\d+$	False	http://identifiers.org/zfin/	
zfin_transcript	safe	Transcript	\b(?P<id>ZDB\-[A-Z]+\-\d{6}\-\d+)\b	zfin	direct	reviewed_override	found	ZFIN Bioentity	^ZDB\-\w+\-\d+\-\d+$	False	http://identifiers.org/zfin/	
atc	excluded	Drug	^(?<id>[A-Z]\d{2}[A-Z]{2}\d{2})$	atc	direct	registry_prefix_match	found	Anatomical Therapeutic Chemical	^[A-Z](\d+([A-Z]{1,2}(\d+)?)?)?$	False	http://identifiers.org/atc/	
biosample	excluded	Sample	^(?<id>SAM[NED]\w?\d+)$	biosample	direct	reviewed_override	found	BioSample	^SAM[NED](\w)?\d+$	False	http://identifiers.org/biosample/	
dbsnp	excluded	Variant	^(?<id>rs\d+)$	dbsnp	direct	explicit_pattern_uri	found	dbSNP	^rs\d+$	False	http://identifiers.org/dbsnp/	
hgnc_symbol	excluded	Gene	^(?<id>[A-Z0-9_(?:orf)\-]+\@?)$	hgnc.symbol	direct	reviewed_override	found	HGNC Symbol	^[A-Za-z-0-9_]+(\@)?$	False	http://identifiers.org/hgnc.symbol/	
homologene	excluded	Ortholog	^(?<id>\d+)$	homologene	direct	registry_prefix_match	found	HomoloGene	^\d+$	False	http://identifiers.org/homologene/	
iuphar_ligand	excluded	Compound	^(?<id>\d+)$	iuphar.ligand	direct	reviewed_override	found	IUPHAR ligand	^\d+$	False	http://identifiers.org/iuphar.ligand/	
mbgd_gene	excluded	Gene	^(?<id>[a-z0-9]+:[A-Z0-9_\.-]+)$		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
mbgd_organism	excluded	Organism	^(?<id>[a-z0-9]+)$		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
